Sentences,Label
you also cannot take pictures with it in the case because the lense is covered,0
phone falls out easily,0
it didn t work people can not hear me when i talk,0
the text messaging feature is really tricky to use,0
i m really disappointed all i have now is a charger that doesn t work,0
painful on the ear,0
lasted one day and then blew up,0
disappointed,0
kind of flops around,0
the screen does get smudged easily because it touches your ear and face,0
what a piece of junk i lose more calls on this phone,0
item does not match picture,0
the only thing that disappoint me is the infra red port irda,0
you can not answer calls with the unit never worked once,0
